Date,Value
1998-07-01,178.9
1998-06-01,175.9
1998-05-01,182.7
1998-04-01,187.2
1998-03-01,187.4
1998-02-01,186.9
1998-01-01,185.3
1997-12-01,187.7
1997-11-01,188.5
1997-10-01,187.1
1997-09-01,192.2
1997-08-01,196.8
1997-07-01,199.0
1997-06-01,197.9
1997-05-01,203.3
1997-04-01,199.9
1997-03-01,196.4
1997-02-01,195.3
1997-01-01,190.2
1996-12-01,189.3
1996-11-01,190.3
1996-10-01,182.8
1996-09-01,189.6
1996-08-01,184.4
1996-07-01,181.0
1996-06-01,184.7
1996-05-01,181.3
1996-04-01,172.2
1996-03-01,169.6
1996-02-01,166.8
1996-01-01,165.7
1995-12-01,165.7
1995-11-01,167.0
1995-10-01,171.0
1995-09-01,174.1
1995-08-01,172.2
1995-07-01,173.0
1995-06-01,169.9
1995-05-01,173.4
1995-04-01,175.7
1995-03-01,179.3
1995-02-01,177.8
1995-01-01,182.1
1994-12-01,181.7
1994-11-01,183.4
1994-10-01,181.4
1994-09-01,184.7
1994-08-01,185.5
1994-07-01,184.4
1994-06-01,189.7
1994-05-01,185.7
1994-04-01,188.2
1994-03-01,197.4
1994-02-01,196.6
1994-01-01,202.0
1993-12-01,195.9
1993-11-01,188.6
1993-10-01,181.5
1993-09-01,179.0
1993-08-01,175.9
1993-07-01,172.9
1993-06-01,178.7
1993-05-01,189.0
1993-04-01,197.3
1993-03-01,196.4
1993-02-01,181.1
1993-01-01,164.6
1992-12-01,155.5
1992-11-01,146.9
1992-10-01,143.8
1992-09-01,144.8
1992-08-01,142.0
1992-07-01,142.8
1992-06-01,144.1
1992-05-01,148.7
1992-04-01,148.6
1992-03-01,146.4
1992-02-01,140.9
1992-01-01,132.3
1991-12-01,128.2
1991-11-01,125.4
1991-10-01,124.5
1991-09-01,125.0
1991-08-01,125.1
1991-07-01,133.2
1991-06-01,132.7
1991-05-01,125.2
1991-04-01,121.6
1991-03-01,119.6
1991-02-01,118.8
1991-01-01,120.0
1990-12-01,119.3
1990-11-01,119.4
1990-10-01,120.5
1990-09-01,123.5
1990-08-01,124.8
1990-07-01,126.5
1990-06-01,125.9
1990-05-01,128.0
1990-04-01,129.3
1990-03-01,127.4
1990-02-01,125.8
1990-01-01,124.5
1989-12-01,123.1
1989-11-01,123.2
1989-10-01,127.3
1989-09-01,127.0
1989-08-01,128.8
1989-07-01,130.0
1989-06-01,128.7
1989-05-01,128.5
1989-04-01,126.5
1989-03-01,123.4
1989-02-01,122.3
1989-01-01,119.8
1988-12-01,118.8
1988-11-01,119.9
1988-10-01,120.0
1988-09-01,120.9
1988-08-01,123.2
1988-07-01,125.1
1988-06-01,124.4
1988-05-01,123.8
1988-04-01,123.9
1988-03-01,123.0
1988-02-01,121.5
1988-01-01,120.8
1987-12-01,120.3
1987-11-01,120.4
1987-10-01,120.5
1987-09-01,123.3
1987-08-01,120.2
1987-07-01,119.7
1987-06-01,117.9
1987-05-01,116.9
1987-04-01,116.8
1987-03-01,116.0
1987-02-01,114.4
1987-01-01,111.9
1986-12-01,111.3
1986-11-01,112.0
1986-10-01,111.1
1986-09-01,112.9
1986-08-01,111.3
1986-07-01,111.1
1986-06-01,110.4
1986-05-01,113.0
